日期,10年好地区一般债收益率,地方债收益率数据来源,10年国债活跃券收益率,1年国股行NCD利率,10年好地区一般债-10年国债活跃券利差,10年好地区一般债-1年国股行NCD利差,利率数据来源,说明
2022-08-17,2.9183,10Y一般债好老券,2.6124,1.92,30.589999999999982,99.83,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-18,2.905,10Y一般债好老券,2.58,1.91,32.49999999999997,99.49999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-19,2.9001,10Y一般债好老券,2.5875,1.91,31.26000000000002,99.01000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-22,2.902,10Y一般债好老券,2.5925,1.93,30.95000000000003,97.20000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-23,2.909,10Y一般债好老券,2.6075,1.94,30.149999999999988,96.89999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-24,2.9061,10Y一般债好老券,2.61,1.965,29.610000000000003,94.10999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-25,2.9223,10Y一般债好老券,2.639,1.985,28.330000000000013,93.72999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-26,2.9222,10Y一般债好老券,2.643,1.99,27.920000000000034,93.22000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-29,2.92,10Y一般债好老券,2.6225,1.97,29.749999999999986,95.0,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-30,2.9175,10Y一般债好老券,2.613,1.94,30.45,97.75,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-08-31,2.9271,10Y一般债好老券,2.6225,1.94,30.459999999999976,98.70999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-01,2.9169,10Y一般债好老券,2.6125,1.95,30.440000000000023,96.69000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-02,2.9073,10Y一般债好老券,2.6226,1.945,28.47000000000004,96.23000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-05,2.903,10Y一般债好老券,2.618,1.935,28.500000000000014,96.8,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-06,2.894,10Y一般债好老券,2.614,1.93,28.000000000000025,96.40000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-07,2.8948,10Y一般债好老券,2.6215,1.935,27.329999999999988,95.98,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-08,2.8991,10Y一般债好老券,2.6256,1.945,27.349999999999987,95.40999999999997,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-09,2.9019,10Y一般债好老券,2.635,1.94,26.690000000000012,96.19,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-13,2.9044,10Y一般债好老券,2.6427,1.95,26.16999999999998,95.44,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-14,2.9247,10Y一般债好老券,2.6625,1.955,26.22,96.97,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-15,2.923,10Y一般债好老券,2.6625,1.951,26.049999999999997,97.2,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-16,2.9365,10Y一般债好老券,2.673,1.975,26.35000000000001,96.15,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-19,2.9415,10Y一般债好老券,2.675,1.99,26.65000000000002,95.15,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-20,2.9337,10Y一般债好老券,2.664,1.985,26.969999999999985,94.86999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-21,2.9239,10Y一般债好老券,2.6451,1.975,27.880000000000038,94.89000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-22,2.9288,10Y一般债好老券,2.6501,1.975,27.869999999999973,95.37999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-23,2.9279,10Y一般债好老券,2.6802,1.9825,24.770000000000003,94.54000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-26,2.9489,10Y一般债好老券,2.7154,1.99,23.350000000000026,95.89000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-27,2.951,10Y一般债好老券,2.7051,2.01,24.590000000000025,94.10000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-28,2.9655,10Y一般债好老券,2.7401,2.005,22.540000000000006,96.05000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-29,2.9769,10Y一般债好老券,2.7501,2.01,22.67999999999999,96.69000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-09-30,2.9803,10Y一般债好老券,2.7601,1.99,22.020000000000017,99.03000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-08,2.9841,10Y一般债好老券,2.7626,1.97,22.150000000000027,101.41000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-09,2.9718,10Y一般债好老券,2.7452,1.965,22.65999999999999,100.67999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-10,2.9596,10Y一般债好老券,2.7402,1.975,21.939999999999984,98.46,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-11,2.9623,10Y一般债好老券,2.7426,1.99,21.97,97.22999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-12,2.9559,10Y一般债好老券,2.7352,1.995,22.070000000000036,96.09,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-13,2.9511,10Y一般债好老券,2.7252,1.9975,22.589999999999975,95.35999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-14,2.9312,10Y一般债好老券,2.6977,2.0,23.34999999999998,93.12,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-17,2.9316,10Y一般债好老券,2.7002,2.0,23.139999999999983,93.16,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-18,2.9278,10Y一般债好老券,2.7002,2.005,22.75999999999998,92.28,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-19,2.9296,10Y一般债好老券,2.7052,2.0,22.440000000000015,92.96000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-20,2.9343,10Y一般债好老券,2.7175,2.01,21.68000000000001,92.43,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-21,2.9285,10Y一般债好老券,2.7278,2.03,20.070000000000032,89.85000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-24,2.9263,10Y一般债好老券,2.7153,2.0375,21.099999999999987,88.87999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-25,2.9385,10Y一般债好老券,2.7278,2.05,21.07000000000001,88.85000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-26,2.9323,10Y一般债好老券,2.7025,2.03,22.98,90.23000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-27,2.9269,10Y一般债好老券,2.6953,2.02,23.159999999999982,90.68999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-28,2.9175,10Y一般债好老券,2.6653,2.01,25.22000000000002,90.75000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-10-31,2.9108,10Y一般债好老券,2.6433,2.02,26.750000000000007,89.08,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-01,2.9187,10Y一般债好老券,2.6629,2.04,25.57999999999998,87.86999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-02,2.9283,10Y一般债好老券,2.6854,2.045,24.290000000000013,88.33000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-03,2.9318,10Y一般债好老券,2.6776,2.055,25.419999999999998,87.67999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-04,2.9427,10Y一般债好老券,2.7023,2.085,24.03999999999997,85.77,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-07,2.9361,10Y一般债好老券,2.7003,2.105,23.580000000000023,83.11000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-08,2.9389,10Y一般债好老券,2.6853,2.155,25.360000000000007,78.39,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-09,2.9342,10Y一般债好老券,2.6953,2.16,23.89000000000001,77.42,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-11-10,2.943,10Y一般债好老券,2.7028,2.22,24.020000000000017,72.29999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
